Acromyrmex_echinatior,ERR034187 ERR03416
Anopheles_gambiae,ERR1554906 ERR1554870 ERR1554834
Bembidion_lapponicum,SRR2939026
Biorhiza_pallida_1,ERR233308
Biorhiza_pallida_2,ERR233309
Biorhiza_pallida_3,ERR233313
Callosobruchus_chinensis,SRR949786 SRR952345
Ceratina_calcarata_1,SRR2912519
Cynipini_1,ERR233303 ERR233304 ERR233305
Cynipini_2,ERR233306
Dactylopius_coccus,SRR1231828 SRR1231831 SRR1231832
Delias_oraia,SRR4341246
Diabrotica_virgifera_virgifera_1,SRR1106898 SRR1106897 SRR1106544
Diabrotica_virgifera_virgifera_2,SRR1106912 SRR1106546
Diabrotica_virgifera_virgifera_3,SRR1107707 SRR1107708 SRR1107710 SRR1107712
Diachasma_alloeum,SRR2042503 SRR2046752
Diaphorina_citri_1,SRR189238 SRR183690
Diaphorina_citri_2,SRR649417 SRR649429 SRR649431 SRR649432 SRR649434
Diploeciton_nevermanni,SRR4342174
Diplolepis_spinosa_1,ERR1359308
Diplolepis_spinosa_2,ERR1359312
Drosophila_melanogaster_1,ERR1092813 ERR1092814 ERR1092815 ERR1092816 ERR1092817 ERR1092818
Drosophila_melanogaster_2,SRR2347338
Drosophila_melanogaster_3,SRR3931592
Drosophila_simulans_1,ERR1597896
Drosophila_simulans_2,ERR1597899
Drosophila_simulans_3,ERR1597900
Drosophila_triauraria_1,DRR061000
Drosophila_yakuba_1,SRR2318687
Drosophila_yakuba_2,SRR2318706
Ecitophya_simulans,SRR4301374
Gerris_buenoi_1,SRR1197265
Gerris_buenoi_2,SRR1197267
Homalodisca_vitripennis_1,SRR941995 SRR941996 SRR941997
Homalodisca_vitripennis_2,SRR941998
Isocolus_centaureae_1,ERR1359249
Isocolus_centaureae_2,ERR1359250
Maconellicoccus_hirsutus,ERR1189167
Megacopta_cribraria,SRR1145746
Mycopsylla_fici_1,SRR2954433
Mycopsylla_fici_2,SRR2954467
Mycopsylla_proxima,SRR2954473
Operophtera_brumata,SRR1618545 SRR1618581 SRR1618582
Pararge_aegeria,SRR1190479
Pediaspis_aceris_1,ERR1355090
Pediaspis_aceris_2,ERR1355091
Polygonia_c-album,SRR1190476
Pseudomyrmex_sp_PSW_54,SRR1742977
Rhagoletis_pomonella,SRR3900841 SRR3901027
Rhagoletis_zephyria,SRR3670118 SRR3670117 SRR3670120
Trichogramma_pretiosum,SRR1191749 SRR1191750 SRR1191751 SRR1191752 SRR1191753
Wuchereria_bancrofti,SRR1917735
Dirofilaria_immitis_1,ERR034940
Dirofilaria_immitis_2,ERR034941
Brugia_malayi,SRR3111318 SRR3111319
Brugia_pahangi,ERR068352
Onchocerca_volvulus,ERR948795 ERR948801
Onchocerca_ochengi,ERR065035
Onchocerca_gutturosa,ERR658162
Litomosoides_sigmodontis,ERR138447 ERR138448 ERR138449